feature,importance
item_rating,0.26818490569540665
item_is_phone_hidden,0.05644505960059374
item_is_message_forbidden,0.20737289559805036
log_item_price,1.15384906616652
item_price_missing,0.0
log_item_rating_reviews_count,1.0376879628002458
item_rating_reviews_count_missing,0.02226809750831802
rating_missing,0.0
log_item_popularity,2.9942930102151983
title_length,1.004295389022764
log_description_length,1.579253351029936
log_params_length,1.2252198167315553
is_services,0.0
title,0.7238553238656896
description,8.818511314399858
params,0.32303648010036295
char,0.8391099506959812
filter,2.1365929631634635
bm25,1.098023503753509
bm25_geo,0.4335843523567896
char_geo,0.362797729114417
dense_e5,1.072345001251369
dense_geo_e5,0.9594548704563933
prior_e5,1.3688399801932152
history_e5,0.39661482477193155
context_e5,3.5157100938731545
filter_bm25,3.7650438183064874
filter_geo,5.317993986930464
rrf,9.050802330140803
microcat_probability_e5,5.917723056090255
same_location,0.3509445791482164
location_probability,5.181837005471667
geo_affinity,13.30879120430811
log_distance_km,6.605811353112437
distance_unknown,0.164502099684783
rrank_bm25,1.3388314117856153
rrank_bm25_geo,0.7541015362905713
rrank_char,0.5882013490288953
rrank_char_geo,0.7787385319693253
rrank_dense_e5,2.1348359059891813
rrank_dense_geo_e5,1.3659773963820432
rrank_prior_e5,7.51410953225009
rrank_history_e5,0.2195313467250007
rrank_context_e5,0.341422286297741
rrank_filter_bm25,0.40745024661614376
rrank_filter_geo,0.20796299568564297
category_match,0.0
title_token_coverage,0.4213392053442467
title_covers_query,0.0
query_in_title,0.04905911806136898
query_length,0.357019440448518
query_tokens,0.17423123653151742
has_search_filters,0.0
delivery_search,0.0
category_unrestricted,0.0
nearest_history_char,0.7069349988376079
nearest_history_dense_e5,1.3794580861985717
