feature,importance
item_rating,0.13851976781920516
item_is_phone_hidden,0.19305565396837235
item_is_message_forbidden,0.16456728098309814
log_item_price,0.7350314918318039
item_price_missing,0.0
log_item_rating_reviews_count,0.8950531651550026
item_rating_reviews_count_missing,0.02229460074060528
rating_missing,0.0
log_item_popularity,3.603551195672383
title_length,0.9552326538615514
log_description_length,1.7327978571835256
log_params_length,1.132588780406908
is_services,0.0
title,0.5499373756295014
description,9.180871709760122
params,0.3468916614561623
char,0.830410399712753
filter,12.167110646443145
bm25,1.2347544196826692
bm25_geo,0.8907399419544523
char_geo,0.6139854243118159
dense,1.3355337344045415
dense_geo,1.237270578458555
prior,3.865489812537283
history,0.3427601416217807
rrf,7.370893274016348
microcat_probability,6.279942490931408
same_location,0.24712672232467298
location_probability,6.204606517402089
geo_affinity,11.480535329815698
log_distance_km,8.763056437237058
distance_unknown,0.31866687725049275
rrank_bm25,0.9127947225005619
rrank_bm25_geo,1.5898975490592004
rrank_char,0.5068734189508153
rrank_char_geo,0.5440040130919435
rrank_dense,3.0101899854507734
rrank_dense_geo,1.114293158699427
rrank_prior,6.293559726766863
rrank_history,0.4677083741246644
category_match,0.0
title_token_coverage,0.5252940456059025
title_covers_query,0.025294911146810893
query_in_title,0.19126443431418316
query_length,0.6005576359619967
query_tokens,0.20187401717744696
has_search_filters,0.0
delivery_search,0.0
category_unrestricted,0.0
nearest_history_dense,0.5757668757570514
nearest_history_char,0.6073511888193587
